timestamp,station,rain_10min_mm,rain_cum_mm,status,fetched_at
2026-06-10T10:30:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:30:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:30:00+09:00,白銀山,0,1,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:40:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:40:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:40:00+09:00,白銀山,0,1,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:50:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:50:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:50:00+09:00,白銀山,0,1,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T11:00:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T11:00:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T11:00:00+09:00,白銀山,0,1,ok,2026-06-10T11:14:28.943945+09:00
